Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
50,5,5,4,8,2,10,3846,0.9123398516520567,0.9982293050022134,0.9533540022547914,6.0,0.9630266552020637,0.9915891987605135,0.9770992366412214,NaN,NaN,NaN
50,5,5,4,8,3,10,3780,0.9755765301157926,0.999900269272963,0.9875886524822696,8.0,0.9898291695467561,0.999700807818889,0.9947404981641362,NaN,NaN,NaN
50,5,5,4,8,5,10,2963,0.9858030168589175,1.0,0.9928507596067917,2.6666667461395264,0.9888740542946151,1.0,0.9944059073618259,NaN,NaN,NaN
40,5,5,3,6,2,10,56926,0.49605533958380976,0.9998847660751325,0.6631257164692396,10.0,0.7448489010989011,0.999769532150265,0.8536849355505264,NaN,NaN,NaN
40,5,5,3,6,3,10,7611,0.9068278805120911,0.9983361064891847,0.9503843466107617,6.0,0.9535845156440853,0.9933444259567388,0.973058485139022,NaN,NaN,NaN
40,5,5,3,6,5,10,2945,0.9833308747602891,1.0,0.9915953886203049,3.3333332538604736,0.9850746268656716,1.0,0.9924812030075187,NaN,NaN,NaN
30,5,5,2,4,2,10,46251,0.5014186074004019,1.0,0.6679264595882052,9.333333015441895,0.8116150019135093,1.0,0.8960126749405862,1.0,0.4928263268786997,0.6602594260366961
30,5,5,2,4,3,10,2715,0.9771573604060914,0.9980059820538385,0.9874716385518397,10.0,0.9959203980099502,0.9979062811565305,0.9969123505976096,1.0,0.8752053771471248,0.9334501573141104
30,5,5,2,4,5,10,2962,0.9744823563721201,0.9995513012264433,0.9868576491435321,6.0,0.9867060561299852,0.9991026024528866,0.9928656361474435,1.0,0.6598488216985327,0.7950709884811145
20,5,5,1,2,2,10,249409,0.5884891721038868,1.0,0.7409420000319648,9.333333015441895,0.7143737672583826,1.0,0.8333932551952253,0.8,1.725625539257981E-4,3.450506793185249E-4
20,5,5,1,2,3,10,101978,0.432322107802208,1.0,0.6036660405466675,10.0,0.8002925687536571,0.9783261802575107,0.8803990988091407,1.0,0.5262550490478938,0.6896030245746692
20,5,5,1,2,5,10,4259,0.912542372881356,1.0,0.9542715349166963,3.3333332538604736,0.9520441363700665,1.0,0.9754330023914777,1.0,0.7242946411664457,0.8401054249945091
10,5,5,0,0,2,10,141051,0.7286663260091978,1.0,0.8430387230268992,10.0,1.0,1.0,1.0,0.5508260800399972,0.9998349971124495,0.71032310059345
10,5,5,0,0,3,10,331560,0.5188605821615732,1.0,0.6832234482287431,10.0,0.8873594242015295,0.9863,0.9342173810087615,0.6647398843930635,0.0056433408577878106,0.01119166950513357
10,5,5,0,0,5,10,72241,0.48012951067940884,1.0,0.6487668912959108,10.0,1.0,0.5092451598868828,0.6748342461804555,1.0,1.0,1.0
50,5,50,4,8,2,10,1192,0.9584471603163192,1.0,0.9787827619117538,2.0,0.9906375390102541,1.0,0.9952967525195968,NaN,NaN,NaN
50,5,50,4,8,3,10,1837,0.9993004197481511,1.0,0.9996500874781304,2.0,0.9993004197481511,1.0,0.9996500874781304,NaN,NaN,NaN
50,5,50,4,8,5,10,2999,0.9865324848305461,1.0,0.9932205915220145,0.6666666865348816,0.9868245743893412,1.0,0.9933686014454958,NaN,NaN,NaN
40,5,50,3,6,2,10,7052,0.8520452567449956,1.0,0.9201127819548872,4.666666507720947,0.9359464627151052,1.0,0.9669135802469135,NaN,NaN,NaN
40,5,50,3,6,3,10,2294,0.993939996026227,0.9997002398081535,0.996811796353492,6.0,0.9957196894286283,0.9995003996802558,0.9976064625511121,NaN,NaN,NaN
40,5,50,3,6,5,10,3001,0.9878482513337286,1.0,0.9938869837483226,1.3333333730697632,0.9878482513337286,1.0,0.9938869837483226,NaN,NaN,NaN
30,5,50,2,4,2,10,12125,0.815845824411135,1.0,0.8985849056603774,6.0,0.8876237623762376,0.9907445779803841,0.9363535478817155,1.0,0.5745988391942642,0.7298352124891587
30,5,50,2,4,3,10,2954,0.9877687906884988,0.994537689939418,0.9911416835749988,2.6666667461395264,0.9871832791087449,0.9944383752110438,0.99079754601227,1.0,0.6936823372386178,0.8191410183442056
30,5,50,2,4,5,10,2859,0.9846381093057607,1.0,0.9922596010717475,5.333333492279053,0.9906375390102541,1.0,0.9952967525195968,1.0,1.0,1.0
20,5,50,1,2,2,10,22780,0.6691610176952196,0.9997369459423912,0.8017086805189326,10.0,0.9183241641980533,0.8562409575167697,0.8861965695616661,1.0,0.6441401971522454,0.7835587236026914
20,5,50,1,2,3,10,9354,0.8900210822206606,0.9999013125431757,0.9417669749500396,3.3333332538604736,0.9375986628284891,0.9964472515543275,0.9661276432877236,1.0,0.6888430968501619,0.815757364476207
20,5,50,1,2,5,10,10861,0.7505441880713974,1.0,0.8574981347923402,5.333333492279053,0.9389895138226882,0.9998549883990719,0.968466886719573,1.0,0.5876391220543431,0.7402678781232866
10,5,50,0,0,2,10,143838,0.7256972408650261,1.0,0.8410481557022851,7.333333492279053,1.0,1.0,1.0,NaN,NaN,NaN
10,5,50,0,0,3,10,343330,0.5182286943228046,1.0,0.6826754049118494,10.0,0.8718949609652236,0.9828,0.9240315908236179,0.3777822662088467,0.9154267815191856,0.5348431557576278
10,5,50,0,0,5,10,72742,0.48009871875656374,1.0,0.6487387802887856,10.0,0.9640742202921437,0.5341791534507273,0.6874516151734816,1.0,1.0,1.0
50,5,500,4,8,2,10,1156,0.9589987052222702,1.0,0.9790702797973122,0.6666666865348816,0.962738301559792,1.0,0.9810154525386313,NaN,NaN,NaN
50,5,500,4,8,3,10,1800,0.9985020970641102,1.0,0.9992504871833308,2.6666667461395264,0.9992005596082743,1.0,0.9996001199640108,NaN,NaN,NaN
50,5,500,4,8,5,10,2999,0.9866785079928952,1.0,0.9932945909700492,2.6666667461395264,0.9868245743893412,1.0,0.9933686014454958,NaN,NaN,NaN
40,5,500,3,6,2,10,1216,0.9606571552096844,1.0,0.9799338478500551,2.6666667461395264,0.9956684092606423,1.0,0.9978295037796572,NaN,NaN,NaN
40,5,500,3,6,3,10,2613,0.9851655368896748,1.0,0.9925273420101944,3.3333332538604736,0.9941462446671296,0.9992022337455125,0.9966678271248819,NaN,NaN,NaN
40,5,500,3,6,5,10,3000,0.986094674556213,1.0,0.9929986593177417,1.3333333730697632,0.9874092727003407,1.0,0.9936647536707163,NaN,NaN,NaN
30,5,500,2,4,2,10,1248,0.9616272360069245,1.0,0.9804382997499632,3.3333332538604736,0.999850007499625,1.0,0.9999249981249532,1.0,1.0,1.0
30,5,500,2,4,3,10,1792,0.9981034138550609,1.0,0.9990508068142079,3.3333332538604736,0.9997000599880024,1.0,0.999850007499625,1.0,1.0,1.0
30,5,500,2,4,5,10,2951,0.9874092727003407,1.0,0.9936647536707163,0.6666666865348816,0.9871168369613506,1.0,0.9935166554884864,1.0,1.0,1.0
20,5,500,1,2,2,10,3104,0.9425591098748262,1.0,0.9704302999928403,2.6666667461395264,0.9490267469542081,1.0,0.9738468170714183,0.9973232753376323,0.9996341463414634,0.9984773737742859
20,5,500,1,2,3,10,2016,0.9932626572872287,0.999900259325753,0.9965704060838013,5.333333492279053,0.9962211614956245,0.9992020746060243,0.997709391494871,1.0,0.7568096313017306,0.8615727257152648
20,5,500,1,2,5,10,5542,0.8675131460818264,1.0,0.9290570702561638,8.0,0.9829966574625781,1.0,0.9914254305606449,1.0,0.5981677856560206,0.7485669414998037
10,5,500,0,0,2,10,142025,0.7351771565256391,1.0,0.847379939000224,10.0,1.0,1.0,1.0,NaN,NaN,NaN
