Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Number of Negation Constraints,Number of Aggregate Constraints,Number of Parameter Constraints,Frequency of Noisy Events,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,50,1,2,3,0,0,0,3,10,3515,0.7616403246475865,0.991106170094497,0.861352657004831,4.0,0.8694243707949165,0.9697053918843802,0.9168309026409144,0.5839271575613618,1.0,0.7373156710822294
135,15,50,1,2,3,0,0,0,9,10,1795,0.7033070866141732,0.9933274021352313,0.8235294117647058,3.3333332538604736,0.864652805021577,0.9804270462633452,0.9189076506149676,0.5148548857976988,1.0,0.6797415259040924
135,15,50,1,2,3,0,0,0,30,10,630,0.8795833333333334,0.9910798122065728,0.9320088300220751,2.6666667461395264,0.9103896103896104,0.9873239436619718,0.9472972972972973,0.4679721208098241,1.0,0.6375763056748813
135,15,50,1,2,3,0,0,0,3,10,3377,0.8625192012288786,1.0,0.9261855670103092,8.666666984558105,0.9717334871646957,1.0,0.9856641310708016,0.9997589780670041,1.0,0.9998794745088586
135,15,50,1,2,3,0,0,0,9,10,638,0.8895320791123975,1.0,0.9415368904774062,1.3333333730697632,0.8827190043082814,1.0,0.9377065853038392,1.0,1.0,1.0
135,15,50,1,2,3,0,0,0,30,10,1133,0.8157514450867052,0.9873196327066025,0.8933728981206726,3.3333332538604736,0.8799048751486326,0.9707039790118058,0.9230769230769231,0.49780108254397837,1.0,0.6647092038396387
135,15,50,1,2,3,0,0,0,3,10,3167,0.7671661820621785,1.0,0.8682445260093659,4.0,0.8657243816254417,1.0,0.9280303030303031,0.9856740253640207,1.0,0.9927853341218215
135,15,50,1,2,3,0,0,0,9,10,532,0.9417620706819313,0.9989440337909187,0.9695106328465284,2.6666667461395264,0.948345035105316,0.9984160506863781,0.9727366255144032,0.9892884468247896,1.0,0.9946153846153846
135,15,50,1,2,3,0,0,0,30,10,466,0.9272644098810613,0.98974609375,0.9574870099196977,1.3333333730697632,0.9268181818181818,0.99560546875,0.9599811676082862,0.9897959183673469,1.0,0.9948717948717948
135,15,50,1,2,3,0,0,0,3,10,3523,0.7531426094495015,0.9997123130034522,0.8590852904820766,4.0,0.8709432048681541,0.988204833141542,0.9258760107816711,0.5731837606837606,1.0,0.7286926994906621
135,15,50,1,2,3,0,0,0,9,10,518,0.8781990521327014,1.0,0.9351501387837496,2.0,0.8975109809663251,0.9924446842957366,0.9425935417734496,0.972379871358305,1.0,0.9859965470938039
135,15,50,1,2,3,0,0,0,30,10,189,0.9591254752851711,0.999009900990099,0.9786614936954414,1.3333333730697632,0.9600380589914367,0.999009900990099,0.9791363415817564,0.9797174936617168,1.0,0.9897548481522137
135,15,50,1,2,3,0,0,0,3,10,3024,0.8226406322640633,1.0,0.9026909832929474,4.666666507720947,0.9245036572622779,1.0,0.9607710058368398,0.9972375690607734,1.0,0.9986168741355463
135,15,50,1,2,3,0,0,0,9,10,1000,0.843978102189781,0.9887760555852485,0.9106571498892443,2.6666667461395264,0.8942028985507247,0.9893105291288081,0.939355493529561,0.4686306601200218,1.0,0.638187221396731
135,15,50,1,2,3,0,0,0,30,10,4224,0.60301310898063,0.9954780361757106,0.7510661630315584,6.666666507720947,0.9096676737160121,0.9725452196382429,0.9400561973150172,0.6261975553353155,1.0,0.7701371254443881
135,15,50,1,2,3,0,0,0,3,10,3484,0.8638211382113821,1.0,0.9269356597600872,14.0,0.9761494252873564,0.9991176470588236,0.9875000000000002,0.9877962919502464,1.0,0.9938606847697756
