Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,5,1,2,3,10,1879,0.9612222014576715,0.9992229237493929,0.9798542648949851,6.0,0.9918950212273253,0.9985429820301117,0.9952078997047291,1.0,0.9000734753857458,0.9474091260634184
135,15,50,1,2,3,10,1083,0.978494623655914,0.9998038061604866,0.9890344492964581,2.0,0.9874079814025571,1.0,0.9936640998147968,1.0,0.9108228317272054,0.9533304884199092
135,15,500,1,2,3,10,862,0.9895463510848126,0.9975146634854359,0.9935145304222981,2.0,0.991403162055336,0.9974152500248533,0.994400118935527,1.0,0.9219545046393296,0.9593926416196223
135,15,5,1,2,3,10,927,0.9850102870579014,0.999403578528827,0.9921547342971332,2.0,0.9900512214342002,0.9991053677932406,0.9945576885018801,1.0,1.0,1.0
135,15,50,1,2,3,10,662,0.9923875432525952,0.9988059701492538,0.9955864121001735,4.666666507720947,0.9967183770883055,0.9973134328358209,0.9970158161742763,0.9996997222430748,0.99879996999925,0.9992496435807008
135,15,500,1,2,3,10,3343,0.9122733378106112,0.9953288148012457,0.9519929916776173,4.666666507720947,0.9778851514588367,0.9639128045429566,0.9708487084870848,1.0,0.8669137701937198,0.9287132421801836
135,15,5,1,2,3,10,677,0.9902616565020657,0.9979183187946075,0.9940752443961687,4.666666507720947,0.9938813776768972,0.9983148295003965,0.9960931704663468,1.0,1.0,1.0
135,15,50,1,2,3,10,479,0.9979050279329609,1.0,0.998951415588955,2.0,0.9984030342349536,1.0,0.9992008790330635,1.0,0.9686440039194996,0.9840722873114327
135,15,500,1,2,3,10,484,0.9981043599720643,1.0,0.9990512807709592,2.6666667461395264,0.9993007691539306,1.0,0.9996502623032725,1.0,0.9710144927536232,0.9852941176470589
135,15,5,1,2,3,10,3278,0.9267515923566879,1.0,0.9619834710743801,4.666666507720947,0.9873452544704264,1.0,0.9936323366555925,1.0,0.8703638039855329,0.9306893152347008
135,15,50,1,2,3,10,664,0.995917554515583,1.0,0.9979546021451733,4.0,0.9976055073331338,0.9997000599880024,0.9986516853932584,1.0,0.9695652173913043,0.9845474613686533
135,15,500,1,2,3,10,563,0.9981034138550609,1.0,0.9990508068142079,0.6666666865348816,0.9975059856344772,1.0,0.9987514358487739,0.9998449011244669,0.97063916283972,0.9850255940102377
135,15,5,1,2,3,10,1624,0.9750805381845745,0.999126213592233,0.9869569387167929,5.333333492279053,0.9885785584029178,1.0,0.9942564795598243,1.0,0.943475073313783,0.9709155381191295
135,15,50,1,2,3,10,681,0.991798418972332,0.9983091306942511,0.9950431248141173,2.6666667461395264,0.9954269808132021,0.9959220210861349,0.9956744394172923,1.0,0.9180549302116164,0.9572769953051644
135,15,500,1,2,3,10,2106,0.9649848359525779,1.0,0.9821804405780833,3.3333332538604736,0.9761993306061733,1.0,0.9879563417388031,1.0,0.891213389121339,0.9424778761061947
135,15,5,1,2,3,10,603,0.9925639500297442,0.9991017964071857,0.9958221426439868,4.0,0.9959199920390088,0.9988023952095808,0.9973591110668195,1.0,1.0,1.0
135,15,50,1,2,3,10,590,0.9947274174293673,1.0,0.997356740312204,1.3333333730697632,0.9947274174293673,1.0,0.997356740312204,1.0,1.0,1.0
