Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
20,5,50,1,2,3,10,40108,0.6277674773693969,0.9998262984193156,0.7712716065925231,7.333333492279053,0.8780506523407521,0.9936598923050199,0.9322848761408082,1.0,0.5607256052329894,0.7185447632215693
135,15,50,1,2,3,10,1083,0.9756891271056661,1.0,0.9876949907954656,2.0,0.9844489519945909,0.9998038061604866,0.9920669684138804,1.0,0.9108228317272054,0.9533304884199092
495,30,50,1,2,3,10,289,0.9941392669116916,0.9992012779552716,0.9966638450430713,0.0,0.9941392669116916,0.9992012779552716,0.9966638450430713,1.0,0.96389159972975,0.9816138526814724
20,5,50,1,2,3,10,1795,0.9988013185495954,1.0,0.999400299850075,2.6666667461395264,1.0,1.0,1.0,1.0,0.945006798610062,0.9717259592978096
135,15,50,1,2,3,10,662,0.9942534429802834,0.9985074626865672,0.9963759122275729,2.0,0.9947446703024293,0.9982089552238806,0.9964738018375964,0.9996997222430748,0.99879996999925,0.9992496435807008
495,30,50,1,2,3,10,281,0.9923611111111111,1.0,0.9961659114674102,2.0,0.9946306055483742,1.0,0.997308075772682,1.0,0.9637599940222671,0.9815456032875461
20,5,50,1,2,3,10,10202,0.8824535888442125,1.0,0.9375568078531177,5.333333492279053,0.9477214259463432,1.0,0.9731591112788339,1.0,0.6842182350787257,0.8125054352552395
135,15,50,1,2,3,10,479,0.9969105042854295,1.0,0.9984528622049208,1.3333333730697632,0.9969105042854295,1.0,0.9984528622049208,1.0,0.9686440039194996,0.9840722873114327
495,30,50,1,2,3,10,234,0.9945295404814004,1.0,0.9972572682391662,0.6666666865348816,0.9945295404814004,1.0,0.9972572682391662,1.0,0.9900090144230769,0.9949794269751991
20,5,50,1,2,3,10,62964,0.5410229088971763,1.0,0.7021607605877268,10.0,0.866723928136855,0.9936812735926474,0.9258707038268914,1.0,0.5352477040486353,0.6972786249894682
135,15,50,1,2,3,10,664,0.9967105263157895,0.9997000599880024,0.9982030548068285,1.3333333730697632,0.9970086748429554,0.9997000599880024,0.9983525535420098,1.0,0.9695652173913043,0.9845474613686533
495,30,50,1,2,3,10,219,0.9959167413604223,1.0,0.9979541939025,0.0,0.9959167413604223,1.0,0.9979541939025,1.0,0.9929238181270702,0.9964493465286696
20,5,50,1,2,3,10,17298,0.8179341480501284,1.0,0.8998501391564976,8.0,0.9590216300082139,1.0,0.979082226880969,1.0,0.6977198697068404,0.8219493476592479
135,15,50,1,2,3,10,681,0.9905203910338699,0.997712353292222,0.9941033645508152,4.0,0.9946386020651311,0.9964193355878257,0.9955281725131672,1.0,0.9180549302116164,0.9572769953051644
495,30,50,1,2,3,10,240,0.9879411764705882,0.9980192136278102,0.9929546238360348,2.6666667461395264,0.9928043371118778,0.9975240170347628,0.9951585811678687,1.0,0.9572776580726652,0.9781725695630719
20,5,50,1,2,3,10,1738,0.9984030342349536,1.0,0.9992008790330635,3.3333332538604736,0.9991010787055533,1.0,0.9995503372470648,1.0,0.9114363307181653,0.9536664298681821
135,15,50,1,2,3,10,590,0.9955197132616488,1.0,0.9977548271216884,0.6666666865348816,0.9947274174293673,1.0,0.997356740312204,1.0,1.0,1.0
495,30,50,1,2,3,10,297,0.9960171263566663,1.0,0.9980045894442782,1.3333333730697632,0.9972086531751571,1.0,0.9986023759608665,0.9998493975903614,1.0,0.9999246931244823
20,5,50,1,2,3,10,3401,0.9732211910286156,1.0,0.9864288863847924,6.0,0.9878324011382592,1.0,0.9938789613979663,1.0,0.6916329284750338,0.817710410849621
135,15,50,1,2,3,10,863,0.9806156243911942,0.9980172499256469,0.9892399154915738,6.0,0.9937765484540156,0.9973232873996233,0.9955467590301831,1.0,0.9158801498127341,0.9560933651327365
495,30,50,1,2,3,10,267,0.9942328726260317,1.0,0.9971080973274831,0.0,0.9942328726260317,1.0,0.9971080973274831,0.9995467593292038,0.9969861362266426,0.9982648057336854
20,5,50,1,2,3,10,137056,0.42827310168803295,1.0,0.5997075785882544,9.333333015441895,0.6820332630592645,0.9859135852634431,0.8062917116668051,1.0,0.4594863847686518,0.6296549108835799
135,15,50,1,2,3,10,600,0.9929493545183714,1.0,0.9964622053913996,1.3333333730697632,0.9929493545183714,1.0,0.9964622053913996,1.0,0.9638400240565329,0.9815871071469586
495,30,50,1,2,3,10,337,0.9850441876274643,0.9982285208148804,0.9915925310392023,4.0,0.9909170817462642,0.9985237673457337,0.9947058823529412,1.0,0.9557436697111458,0.9773710987926191
20,5,50,1,2,3,10,9338,0.8888601259815342,0.9999029314696175,0.9411173541638115,7.333333492279053,0.9693944815896035,0.9992234517569404,0.984082978825104,1.0,0.6945323423357127,0.8197333564945498
135,15,50,1,2,3,10,571,0.9967105263157895,1.0,0.9983525535420099,4.0,0.995717984465246,1.0,0.9978543984831096,1.0,0.9454437342054408,0.9719569037976618
495,30,50,1,2,3,10,250,0.9918048973143759,0.9981120826709062,0.9949484944532488,1.3333333730697632,0.9914209644019327,0.999006359300477,0.9951992081168027,1.0,0.9557502246181492,0.9773745262432526
20,5,50,1,2,3,10,26138,0.7350113499799706,1.0,0.8472697887405242,8.666666984558105,0.9272298492377664,1.0,0.962241062844157,1.0,0.5776934429685853,0.7323266069758118
135,15,50,1,2,3,10,752,0.9909600078608627,1.0,0.9954594808015004,4.666666507720947,0.9965346534653465,0.9980168567178979,0.997275204359673,1.0,0.9195564816192886,0.9580926536150417
495,30,50,1,2,3,10,272,0.9892547318611987,0.9999003587086489,0.9945490584737364,2.0,0.9907178828873309,0.9997010761259466,0.9951892079551654,1.0,0.9632671345378527,0.9812899300273805
20,5,50,1,2,3,10,179897,0.4469710751318901,1.0,0.6178023635906462,7.333333492279053,0.6216774193548387,0.9804639804639804,0.760897030953885,0.0,0.0,NaN
135,15,50,1,2,3,10,491,0.9972114331241908,1.0,0.998603769821482,2.6666667461395264,0.9972114331241908,1.0,0.998603769821482,1.0,0.9789552799699361,0.9893657424990505
495,30,50,1,2,3,10,279,0.9942363112391931,1.0,0.9971098265895955,1.3333333730697632,0.99384126353432,1.0,0.9969111199681148,0.9998498498498498,1.0,0.9999249192882348
20,5,50,1,2,3,10,8145,0.888451331221642,0.9998073217726396,0.9408458365441276,6.666666507720947,0.974964705882353,0.9979768786127168,0.9863365865270174,1.0,0.6081858568203335,0.7563626483108414
135,15,50,1,2,3,10,507,0.9947342275211127,0.9981058717974279,0.9964171974522293,2.0,0.9957264957264957,0.9988037085036388,0.9972627283133431,1.0,0.9235001507386192,0.9602288311586538
495,30,50,1,2,3,10,200,0.9973070017953322,1.0,0.9986516853932585,0.0,0.9973070017953322,1.0,0.9986516853932585,1.0,1.0,1.0
20,5,50,1,2,3,10,83344,0.48309468475897743,1.0,0.651468432492544,10.0,0.8189127105666156,0.9958100558659218,0.8987394957983194,1.0,0.5128157618429992,0.6779619498652731
135,15,50,1,2,3,10,1390,0.973954829408938,0.9981286319314489,0.985893569413367,6.666666507720947,0.9935300460739144,0.9982271249876884,0.9958730470669156,1.0,0.9150152156164181,0.9556218751211194
495,30,50,1,2,3,10,250,0.9973118279569892,1.0,0.9986541049798116,0.0,0.9973118279569892,1.0,0.9986541049798116,1.0,0.9670041244844394,0.9832253145253527
20,5,50,1,2,3,10,7838,0.8968441297316199,1.0,0.9456171075675177,4.0,0.9549474076142604,1.0,0.9769545757546901,1.0,0.6825572801182558,0.8113331869097299
135,15,50,1,2,3,10,601,0.9960155393963542,1.0,0.998003792793692,0.0,0.9960155393963542,1.0,0.998003792793692,1.0,0.9684083540677072,0.98395066457272
495,30,50,1,2,3,10,216,0.9950293269708719,0.9989021956087825,0.9969620000996066,2.6666667461395264,0.9967138020314679,0.9989021956087825,0.9978067989233377,1.0,0.960532250789355,0.9798688600023007
20,5,50,1,2,3,10,6636,0.9283511699619083,1.0,0.9628445113347757,4.666666507720947,0.9714285714285714,0.9998046111762408,0.9854123537624573,1.0,0.6926184355490268,0.8183987849858971
135,15,50,1,2,3,10,2535,0.93094115592806,1.0,0.9642356558303568,4.0,0.9788835842820419,0.9999062177623558,0.9892832289491997,1.0,0.8831605291383625,0.9379556500607533
495,30,50,1,2,3,10,326,0.9976055073331338,1.0,0.9988013185495954,0.6666666865348816,0.9976055073331338,1.0,0.9988013185495954,1.0,1.0,1.0
20,5,50,1,2,3,10,4622,0.945978840932497,1.0,0.9722395958624007,8.666666984558105,0.9907816024320879,0.9999010292953285,0.9953204275651446,1.0,0.692204998887488,0.8181100981767181
135,15,50,1,2,3,10,571,0.9957188371166866,1.0,0.9978548266400599,1.3333333730697632,0.9973075388911049,1.0,0.9986519546657348,1.0,0.9248489425981873,0.9609574259368255
495,30,50,1,2,3,10,247,0.9925093632958801,1.0,0.9962406015037594,1.3333333730697632,0.9919227738376675,1.0,0.9959450103847295,1.0,0.9603494623655914,0.9797737401439834
