Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Number of Negation Constraints, Number of Aggregate Constraints, Number of Parameter Constraints, Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,50,1,2,3,2,0,0,10,613,0.9988642230252969,1.0,0.9994317888320677,1.0,0.9988642230252969,1.0,0.9994317888320677,0.678109143626385,1.0,0.8081824072074295
135,15,50,1,2,3,3,0,0,10,477,0.9977468250716919,1.0,0.9988721419050548,1.0,0.9977468250716919,1.0,0.9988721419050548,0.6726312551271534,1.0,0.80427918952886
135,15,50,1,2,3,5,0,0,10,604,0.9978077043532728,1.0,0.9989026493180749,1.0,0.9978077043532728,1.0,0.9989026493180749,0.6466612870687916,1.0,0.7854211332312404
135,15,50,1,2,3,2,0,0,10,611,0.9971431386070337,1.0,0.9985695259705026,1.0,0.9971431386070337,1.0,0.9985695259705026,0.7030522503879979,1.0,0.8256379100850546
135,15,50,1,2,3,3,0,0,10,616,0.9984177215189873,1.0,0.9992082343626286,1.0,0.9984177215189873,1.0,0.9992082343626286,0.6608789182544561,1.0,0.7958182995651772
135,15,50,1,2,3,5,0,0,10,517,0.9987449011609665,1.0,0.9993720565149137,1.0,0.9987449011609665,1.0,0.9993720565149137,0.6522173891305435,1.0,0.7895055377352781
135,15,50,1,2,3,2,0,0,10,458,0.9974414485337532,1.0,0.9987190856241994,1.0,0.9974414485337532,1.0,0.9987190856241994,0.7009011808576756,1.0,0.8241527359093817
135,15,50,1,2,3,3,0,0,10,495,0.9989671555463747,1.0,0.9994833109434742,1.0,0.9989671555463747,1.0,0.9994833109434742,0.6738750770495171,1.0,0.805167704913002
135,15,50,1,2,3,5,0,0,10,501,0.9979690005344736,0.9988231518134161,0.9983958934873276,1.0,0.9979690005344736,0.9988231518134161,0.9983958934873276,0.6353690972047975,1.0,0.7770344912237634
135,15,50,1,2,3,2,0,0,10,539,0.9979006298110566,1.0,0.9989492119089317,1.0,0.9979006298110566,1.0,0.9989492119089317,0.697113133940182,1.0,0.8215281821804028
135,15,50,1,2,3,3,0,0,10,569,0.9981920449979912,1.0,0.9990952045842968,1.0,0.9981920449979912,1.0,0.9990952045842968,0.6831413289446616,1.0,0.8117456534360008
135,15,50,1,2,3,5,0,0,10,569,0.9984855041107745,1.0,0.9992421781963841,1.0,0.9984855041107745,1.0,0.9992421781963841,0.6330067822155238,1.0,0.7752653437932625
135,15,50,1,2,3,2,0,0,10,593,0.9965284665740924,1.0,0.9982612151622039,1.0,0.9965284665740924,1.0,0.9982612151622039,0.6979204480630607,1.0,0.8220885128737668
135,15,50,1,2,3,3,0,0,10,406,0.9983405932379175,1.0,0.9991696076396097,1.0,0.9983405932379175,1.0,0.9991696076396097,0.6685565430585351,1.0,0.8013591698043897
135,15,50,1,2,3,5,0,0,10,451,0.9992286501377411,1.0,0.9996141762663286,1.0,0.9992286501377411,1.0,0.9996141762663286,0.6237025093217777,1.0,0.7682472691161867
135,15,50,1,2,3,2,0,0,10,542,0.998786162249646,1.0,0.9993927125506072,1.0,0.998786162249646,1.0,0.9993927125506072,0.6891905950894714,1.0,0.8160009854340529
135,15,50,1,2,3,3,0,0,10,645,0.9980472764645426,1.0,0.9990226840183118,1.0,0.9980472764645426,1.0,0.9990226840183118,0.6734336356141797,1.0,0.804852515548987
135,15,50,1,2,3,5,0,0,10,622,0.9981426065421525,1.0,0.9990704399917372,1.0,0.9981426065421525,1.0,0.9990704399917372,0.6537319442347376,1.0,0.7906141578915333
135,15,50,1,2,3,2,0,0,10,458,0.9994813815994191,1.0,0.9997406235410075,1.0,0.9994813815994191,1.0,0.9997406235410075,0.6744028371753417,1.0,0.8055443077402274
135,15,50,1,2,3,3,0,0,10,547,0.9977637731246188,1.0,0.9988806349852447,1.0,0.9977637731246188,1.0,0.9988806349852447,0.6782997532894737,1.0,0.8083177655958105
135,15,50,1,2,3,5,0,0,10,602,0.9977992035212744,1.0,0.9988983895504381,1.0,0.9977992035212744,1.0,0.9988983895504381,0.6466093600764088,1.0,0.7853828306264501
135,15,50,1,2,3,2,0,0,10,439,0.9966996699669967,1.0,0.9983471074380166,1.0,0.9966996699669967,1.0,0.9983471074380166,0.6933700223249053,1.0,0.8189232278636253
135,15,50,1,2,3,3,0,0,10,586,0.9987777551436138,0.9992866605523285,0.9990321430390708,1.0,0.9987777551436138,0.9992866605523285,0.9990321430390708,0.6766230433666923,1.0,0.8071260216107013
135,15,50,1,2,3,5,0,0,10,387,0.9989448137596286,1.0,0.9994721283783784,1.0,0.9989448137596286,1.0,0.9994721283783784,0.6430328897815717,1.0,0.7827389138473763
135,15,50,1,2,3,2,0,0,10,496,0.9991644908616188,1.0,0.9995820708389929,1.0,0.9991644908616188,1.0,0.9995820708389929,0.6736568907344926,1.0,0.8050119405762491
135,15,50,1,2,3,3,0,0,10,611,0.9985311090126954,1.0,0.999265014699706,1.0,0.9985311090126954,1.0,0.999265014699706,0.6621037463976945,1.0,0.7967056783701778
135,15,50,1,2,3,5,0,0,10,521,0.9991146525011066,1.0,0.9995571302037202,1.0,0.9991146525011066,1.0,0.9995571302037202,0.6202055653045876,1.0,0.7655887358811698
135,15,50,1,2,3,2,0,0,10,586,0.9972128210232929,1.0,0.9986044657097289,1.0,0.9972128210232929,1.0,0.9986044657097289,0.6967405475880052,1.0,0.8212694021822652
135,15,50,1,2,3,3,0,0,10,560,0.9991811668372569,1.0,0.999590415728036,1.0,0.9991811668372569,1.0,0.999590415728036,0.6731055741073723,1.0,0.8046181717689685
135,15,50,1,2,3,5,0,0,10,469,0.9974907265982981,1.0,0.9987437872084768,1.0,0.9974907265982981,1.0,0.9987437872084768,0.6290111658786842,1.0,0.7722613313572928
135,15,50,1,2,3,2,0,0,10,501,0.9990798486862285,1.0,0.9995397125760753,1.0,0.9990798486862285,1.0,0.9995397125760753,0.6816444582171264,1.0,0.8106879606879607
