Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,50,1,2,2,10,1949,0.9346174004192872,0.999579596412556,0.9660075839653304,4.666666507720947,0.9695652173913043,1.0,0.9845474613686533,1.0,0.9156459440721054,0.9559657377246954
135,15,50,1,2,3,10,1083,0.9751291371723743,1.0,0.9874079814025571,6.666666507720947,0.9920186879501655,0.9998038061604866,0.9958960328317373,1.0,0.9108228317272054,0.9533304884199092
135,15,50,1,2,5,10,895,0.9922642070812259,1.0,0.9961170848267622,1.3333333730697632,0.9928550163739208,1.0,0.9964146997311024,1.0,0.884556672179112,0.9387424482770259
135,15,50,1,2,2,10,636,0.9780203784570597,1.0,0.9888880712340864,3.3333332538604736,0.9942290618526192,1.0,0.997106180900794,1.0,0.9671831157740637,0.9833178294573643
135,15,50,1,2,3,10,662,0.9953382265423527,0.9985074626865672,0.9969203258493939,1.3333333730697632,0.995536599880976,0.9987064676616916,0.9971190145042719,0.9996997222430748,0.99879996999925,0.9992496435807008
135,15,50,1,2,5,10,898,0.9875555555555555,1.0,0.9937388193202147,2.6666667461395264,0.9881411206640972,1.0,0.9940351923650462,1.0,0.8912300683371298,0.9424872026498042
135,15,50,1,2,2,10,857,0.9585050447633935,1.0,0.9788129444202582,8.0,0.9939581491305629,1.0,0.9969699209223265,1.0,0.964011223618397,0.9816758804894714
135,15,50,1,2,3,10,479,0.9974075181972281,1.0,0.9987020766773163,0.6666666865348816,0.9974075181972281,1.0,0.9987020766773163,1.0,0.9686440039194996,0.9840722873114327
135,15,50,1,2,5,10,905,0.9934426229508196,1.0,0.9967105263157894,2.0,0.9958171496862862,1.0,0.9979041916167665,1.0,1.0,1.0
135,15,50,1,2,2,10,2640,0.9208436724565757,1.0,0.9587908538948456,10.0,0.9943729903536977,1.0,0.9971785570334543,1.0,0.8865184854238802,0.9398460627590289
135,15,50,1,2,3,10,664,0.9949268874962698,1.0,0.9974569932685116,4.666666507720947,0.9983032238746382,1.0,0.999150891563858,1.0,0.9695652173913043,0.9845474613686533
135,15,50,1,2,5,10,991,0.9865324848305461,1.0,0.9932205915220145,3.3333332538604736,0.9878482513337286,1.0,0.9938869837483226,1.0,1.0,1.0
135,15,50,1,2,2,10,13609,0.7980161775993387,0.9906185869246555,0.8839475491318138,6.666666507720947,0.9371415101752181,0.874157138669012,0.9045542451935839,0.8263707571801566,0.4604549662743023,0.5913878036351282
135,15,50,1,2,3,10,681,0.9902154576003163,0.9965187984881639,0.9933571286932381,2.6666667461395264,0.993453030453328,0.9961209468868112,0.9947851999006705,1.0,0.9180549302116164,0.9572769953051644
135,15,50,1,2,5,10,835,0.9919642857142857,1.0,0.9959659345584939,1.3333333730697632,0.9912267657992565,1.0,0.9955940557090582,1.0,0.8889169880508314,0.9411922214412425
135,15,50,1,2,2,10,405,0.9784236019374725,1.0,0.9890941464500334,4.0,0.9934426229508196,1.0,0.9967105263157894,1.0,1.0,1.0
135,15,50,1,2,3,10,590,0.9960155393963542,1.0,0.998003792793692,0.6666666865348816,0.9958171496862862,1.0,0.9979041916167665,1.0,1.0,1.0
135,15,50,1,2,5,10,870,0.9897550111358575,1.0,0.9948511305126483,2.0,0.9903431882335463,1.0,0.9951481675001866,0.9999367128662743,1.0,0.9999683554317901
135,15,50,1,2,2,10,427,0.9834116265413976,0.9991051454138703,0.9911962713619886,2.0,0.9927256532066508,0.9973154362416108,0.995015251841381,1.0,0.9702873843156357,0.984919653893696
135,15,50,1,2,3,10,863,0.9841518293875954,0.9973232873996233,0.9906937810822788,4.666666507720947,0.9963348192174344,0.997125012392188,0.9967297591913588,1.0,0.9158801498127341,0.9560933651327365
135,15,50,1,2,5,10,976,0.9901960784313726,1.0,0.9950738916256158,1.3333333730697632,0.9927029039463887,1.0,0.9963380913235184,1.0,1.0,1.0
135,15,50,1,2,2,10,7040,0.8112775498521133,1.0,0.8958069953645175,10.0,0.9847133757961783,1.0,0.9922978177150192,1.0,0.789151794666132,0.8821518632670216
135,15,50,1,2,3,10,600,0.9924565756823821,1.0,0.9962140081697719,2.0,0.9931466030989273,1.0,0.996561518911646,1.0,0.9638400240565329,0.9815871071469586
135,15,50,1,2,5,10,816,0.9881551673082618,0.9994010182689428,0.9937462775461584,2.0,0.9899154678926294,0.9995507637017071,0.9947097831756203,1.0,0.9256344058938354,0.9613812497956247
135,15,50,1,2,2,10,792,0.9657369389777715,0.9994139194139194,0.982286866359447,3.3333332538604736,0.9793340987370838,0.9998534798534798,0.9894874211556587,0.9969310090842131,0.974091399784095,0.9853788752047563
135,15,50,1,2,3,10,571,0.9949253731343284,1.0,0.997456232231034,2.0,0.9970086748429554,1.0,0.9985020970641102,1.0,0.9454437342054408,0.9719569037976618
135,15,50,1,2,5,10,897,0.991819128365313,1.0,0.9958927637965798,3.3333332538604736,0.9925573087228342,1.0,0.9962647542208278,1.0,0.8900315457413249,0.9418166037987782
135,15,50,1,2,2,10,1255,0.9618776285442953,1.0,0.9805684254200955,4.666666507720947,0.9917470974961533,1.0,0.9958564505934405,1.0,0.9168607359105729,0.9566273842789454
135,15,50,1,2,3,10,752,0.9887254901960785,1.0,0.9943307862952921,4.666666507720947,0.9954594808015004,1.0,0.9977245745943808,1.0,0.9195564816192886,0.9580926536150417
135,15,50,1,2,5,10,950,0.9868343195266273,1.0,0.9933735388280842,2.6666667461395264,0.9862507392075694,1.0,0.993077781912914,1.0,0.9081036453702528,0.9518389083042104
135,15,50,1,2,2,10,7833,0.812644564379337,0.9994731851227479,0.8964278964278964,7.333333492279053,0.9590965861781848,0.9709198187756822,0.9649719880622022,1.0,0.719825628916538,0.8370914083540159
135,15,50,1,2,3,10,491,0.9969135802469136,1.0,0.9984544049459042,2.0,0.997807673143996,1.0,0.99890263367917,1.0,0.9789552799699361,0.9893657424990505
135,15,50,1,2,5,10,851,0.9910793933987511,1.0,0.9955197132616488,2.0,0.9934426229508196,1.0,0.9967105263157894,1.0,1.0,1.0
135,15,50,1,2,2,10,842,0.9550197405527355,1.0,0.9769924269743959,6.0,0.9911855442926399,0.9961612284069098,0.9936671575846834,1.0,0.9509566480988133,0.9748618955992799
135,15,50,1,2,3,10,507,0.9952324195470799,0.9989033994616688,0.9970645305736604,3.3333332538604736,0.9962215372377449,0.9988037085036388,0.997510951812027,1.0,0.9235001507386192,0.9602288311586538
135,15,50,1,2,5,10,1008,0.9896080760095012,1.0,0.994776898970303,3.3333332538604736,0.9928507596067918,1.0,0.9964125560538116,1.0,1.0,1.0
135,15,50,1,2,2,10,4230,0.8700883002207506,1.0,0.9305317830372426,6.0,0.9720098643649815,1.0,0.9858062902519852,1.0,0.843576611182245,0.9151522166917468
135,15,50,1,2,3,10,1390,0.9757272201887883,0.9977346597064907,0.9866082298514731,4.666666507720947,0.9920712607674237,0.9982271249876884,0.9951396730325496,1.0,0.9150152156164181,0.9556218751211194
135,15,50,1,2,5,10,871,0.9879946642952423,1.0,0.993961082531872,5.333333492279053,0.9929986593177417,1.0,0.9964870319156887,1.0,0.9281255910724419,0.9627231704924466
135,15,50,1,2,2,10,562,0.9785963890506698,1.0,0.9891824269629848,4.666666507720947,0.9988111160647942,1.0,0.9994052044609666,0.9997489014438167,0.9796998031496063,0.9896228173740135
135,15,50,1,2,3,10,601,0.9951234076433121,1.0,0.9975557440015963,0.0,0.9951234076433121,1.0,0.9975557440015963,1.0,0.9684083540677072,0.98395066457272
135,15,50,1,2,5,10,832,0.990049012327343,1.0,0.9949996268378237,4.0,0.9952224544640191,1.0,0.9976055073331338,1.0,0.9282641700404858,0.9627977166852569
135,15,50,1,2,2,10,6457,0.8402116402116402,1.0,0.9131684876365728,8.0,0.9795872588604756,1.0,0.9896883852691217,1.0,0.7462039045553145,0.8546583850931676
135,15,50,1,2,3,10,2535,0.9428773543195685,1.0,0.9705989441106864,4.0,0.9829878218834247,0.991653380849667,0.9873015873015873,1.0,0.8831605291383625,0.9379556500607533
135,15,50,1,2,5,10,983,0.9938869837483226,1.0,0.9969341209900546,4.0,0.9997000599880024,1.0,0.999850007499625,1.0,1.0,1.0
135,15,50,1,2,2,10,4047,0.8735581676370427,1.0,0.9325124596892407,6.0,0.9621037288959067,0.9961016096579477,0.9788075378436825,1.0,0.8370095440084836,0.9112740287479074
135,15,50,1,2,3,10,571,0.9939375869608428,1.0,0.996959577331406,1.3333333730697632,0.9949253731343284,0.9998000199980002,0.9973567403122038,1.0,0.9248489425981873,0.9609574259368255
135,15,50,1,2,5,10,834,0.9899064865667211,1.0,0.994927644338356,2.6666667461395264,0.9932975871313673,1.0,0.9966375252185609,1.0,0.9119898766213224,0.953969357027036
135,15,50,1,2,2,10,913,0.9612884995761515,1.0,0.9802622100561879,4.666666507720947,0.9911143481427531,1.0,0.9955373472821714,0.9998713991769548,0.9452887537993921,0.9718142616086496
135,15,50,1,2,3,10,1236,0.9746428233513105,1.0,0.9871586008624821,4.0,0.9910430511412887,0.9989321425104358,0.9949719590021272,1.0,0.9037755251946525,0.9494559765413997
135,15,50,1,2,5,10,898,0.9896080760095012,1.0,0.994776898970303,3.3333332538604736,0.9919642857142857,1.0,0.9959659345584939,1.0,0.8787423274458224,0.93545806107481
135,15,50,1,2,2,10,422,0.9823373564910215,1.0,0.9910899910899912,4.0,0.995228153892037,1.0,0.9976083707025412,1.0,1.0,1.0
135,15,50,1,2,3,10,615,0.9927958156518306,0.9990069513406157,0.9958916992525862,2.6666667461395264,0.9945474372955289,0.9962264150943396,0.9953862181872303,1.0,0.9194365777314055,0.9580275674626286
135,15,50,1,2,5,10,907,0.9913741820345032,1.0,0.9956684092606423,2.0,0.9940351923650462,1.0,0.9970086748429554,1.0,1.0,1.0
135,15,50,1,2,2,10,10414,0.7919955684808199,0.9972970616444328,0.8828682798811316,8.0,0.9555499110998222,0.984043944546168,0.9695876288659794,1.0,0.6084652020279613,0.7565786331725488
135,15,50,1,2,3,10,629,0.9938375906967498,1.0,0.9969092721834496,0.6666666865348816,0.9946284691136974,1.0,0.9973070017953322,1.0,1.0,1.0
