Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
225,15,50,4,8,3,10,611,0.9932452567795769,1.0,0.9966111830957839,2.6666667461395264,0.9966111830957839,1.0,0.998302715654952,0.0,0.0,0.0
195,15,50,3,6,3,10,581,0.9958171496862862,1.0,0.9979041916167665,0.0,0.9958171496862862,1.0,0.9979041916167665,0.0,0.0,0.0
165,15,50,2,4,3,10,647,0.9925683709869203,0.9999001796765822,0.9962207856787667,3.3333332538604736,0.9942397457542954,0.999301257736075,0.9967640762682332,1.0,0.9255712238896011,0.9613471705502251
135,15,50,1,2,3,10,645,0.998003792793692,1.0,0.9990008991907283,1.3333333730697632,0.998003792793692,1.0,0.9990008991907283,1.0,1.0,1.0
105,15,50,0,0,3,10,4691,0.9395043731778425,1.0,0.9688087185268696,10.0,0.9965756594169366,0.9281958451857598,0.9611711148799429,1.0,1.0,1.0
225,15,50,4,8,3,10,570,0.9971080973274831,1.0,0.9985519548609377,0.6666666865348816,0.9964125560538116,1.0,0.9982030548068284,0.0,0.0,0.0
195,15,50,3,6,3,10,631,0.9967105263157895,1.0,0.9983525535420099,1.3333333730697632,0.9973070017953322,1.0,0.9986516853932585,0.0,0.0,0.0
165,15,50,2,4,3,10,628,0.9915708052360175,1.0,0.9957675646068814,0.6666666865348816,0.99,1.0,0.9949748743718593,0.9995462108606867,1.0,0.9997730539375141
135,15,50,1,2,3,10,594,0.9941392669116916,0.9994008388256441,0.9967631094069022,3.3333332538604736,0.995721818724505,0.9994008388256441,0.9975579367057065,1.0,0.9590305395062655,0.9790868699249272
105,15,50,0,0,3,10,5221,0.9297254277755671,1.0,0.9635831236854044,8.666666984558105,0.9976940814757879,1.0,0.9988457098884186,1.0,1.0,1.0
225,15,50,4,8,3,10,592,0.9930479690138048,1.0,0.9965118596770979,1.3333333730697632,0.9964125560538116,1.0,0.9982030548068284,0.0,0.0,0.0
